152, 119ABC, path uno249, elemnent 247, path dos 147, elemento 326
242, 809ABC, path uno92, elemnent 28, path dos 148, elemento 56
240, 900ABC, path uno32, elemnent 86, path dos 407, elemento 258
454, 446ABC, path uno369, elemnent 158, path dos 498, elemento 236
121, 79ABC, path uno436, elemnent 281, path dos 81, elemento 72
292, 240ABC, path uno407, elemnent 440, path dos 127, elemento 220
200, 182ABC, path uno315, elemnent 300, path dos 97, elemento 279
344, 493ABC, path uno221, elemnent 410, path dos 381, elemento 282
110, 693ABC, path uno129, elemnent 241, path dos 240, elemento 377
420, 347ABC, path uno202, elemnent 49, path dos 191, elemento 28
86, 613ABC, path uno353, elemnent 247, path dos 180, elemento 4
119, 811ABC, path uno115, elemnent 276, path dos 107, elemento 150
29, 659ABC, path uno268, elemnent 172, path dos 459, elemento 219
358, 525ABC, path uno111, elemnent 174, path dos 82, elemento 11
227, 750ABC, path uno195, elemnent 261, path dos 267, elemento 495
258, 339ABC, path uno67, elemnent 221, path dos 474, elemento 179
57, 36ABC, path uno0, elemnent 462, path dos 111, elemento 120
308, 288ABC, path uno225, elemnent 172, path dos 434, elemento 291
391, 65ABC, path uno225, elemnent 188, path dos 388, elemento 265
406, 218ABC, path uno248, elemnent 34, path dos 172, elemento 65
339, 598ABC, path uno457, elemnent 35, path dos 399, elemento 237
76, 352ABC, path uno320, elemnent 309, path dos 362, elemento 138
21, 768ABC, path uno165, elemnent 188, path dos 303, elemento 478
376, 643ABC, path uno353, elemnent 424, path dos 167, elemento 365
28, 501ABC, path uno178, elemnent 19, path dos 245, elemento 265
0, 16ABC, path uno302, elemnent 469, path dos 109, elemento 180
376, 16ABC, path uno231, elemnent 294, path dos 338, elemento 388
297, 166ABC, path uno412, elemnent 401, path dos 454, elemento 326
191, 950ABC, path uno68, elemnent 20, path dos 140, elemento 261
242, 103ABC, path uno387, elemnent 379, path dos 156, elemento 408
229, 634ABC, path uno55, elemnent 262, path dos 150, elemento 39
352, 261ABC, path uno192, elemnent 329, path dos 332, elemento 184
175, 732ABC, path uno191, elemnent 41, path dos 359, elemento 20
477, 666ABC, path uno434, elemnent 92, path dos 320, elemento 7
245, 428ABC, path uno194, elemnent 411, path dos 261, elemento 356
146, 34ABC, path uno176, elemnent 270, path dos 5, elemento 301
410, 100ABC, path uno19, elemnent 437, path dos 71, elemento 130
43, 723ABC, path uno8, elemnent 164, path dos 193, elemento 340
341, 975ABC, path uno400, elemnent 112, path dos 130, elemento 35
295, 85ABC, path uno78, elemnent 490, path dos 289, elemento 463
290, 657ABC, path uno45, elemnent 106, path dos 179, elemento 416
339, 334ABC, path uno283, elemnent 165, path dos 245, elemento 384
469, 514ABC, path uno10, elemnent 203, path dos 300, elemento 452
259, 346ABC, path uno54, elemnent 242, path dos 486, elemento 418
456, 764ABC, path uno284, elemnent 377, path dos 219, elemento 96
28, 258ABC, path uno194, elemnent 223, path dos 489, elemento 26
123, 631ABC, path uno84, elemnent 261, path dos 140, elemento 37
144, 181ABC, path uno383, elemnent 450, path dos 350, elemento 346
358, 517ABC, path uno143, elemnent 5, path dos 225, elemento 138
236, 366ABC, path uno198, elemnent 408, path dos 245, elemento 259
313, 682ABC, path uno157, elemnent 44, path dos 65, elemento 51
331, 559ABC, path uno86, elemnent 85, path dos 74, elemento 36
426, 619ABC, path uno324, elemnent 313, path dos 219, elemento 417
444, 97ABC, path uno53, elemnent 308, path dos 200, elemento 418
459, 181ABC, path uno308, elemnent 66, path dos 101, elemento 312
431, 517ABC, path uno457, elemnent 187, path dos 25, elemento 443
190, 528ABC, path uno435, elemnent 436, path dos 169, elemento 144
389, 447ABC, path uno310, elemnent 217, path dos 328, elemento 56
409, 655ABC, path uno466, elemnent 451, path dos 237, elemento 120
390, 560ABC, path uno391, elemnent 375, path dos 338, elemento 24
442, 668ABC, path uno493, elemnent 205, path dos 350, elemento 334
181, 875ABC, path uno310, elemnent 357, path dos 350, elemento 423
353, 540ABC, path uno222, elemnent 235, path dos 283, elemento 408
435, 953ABC, path uno66, elemnent 374, path dos 277, elemento 207
30, 826ABC, path uno451, elemnent 33, path dos 439, elemento 60
480, 458ABC, path uno421, elemnent 48, path dos 256, elemento 383
99, 914ABC, path uno135, elemnent 105, path dos 392, elemento 227
439, 74ABC, path uno117, elemnent 55, path dos 72, elemento 105
101, 524ABC, path uno493, elemnent 432, path dos 378, elemento 416
117, 302ABC, path uno278, elemnent 83, path dos 147, elemento 185
121, 408ABC, path uno79, elemnent 262, path dos 36, elemento 268
128, 317ABC, path uno325, elemnent 124, path dos 95, elemento 31
360, 571ABC, path uno401, elemnent 253, path dos 29, elemento 320
220, 604ABC, path uno167, elemnent 273, path dos 176, elemento 185
265, 184ABC, path uno1, elemnent 366, path dos 453, elemento 41
148, 710ABC, path uno169, elemnent 230, path dos 117, elemento 437
358, 663ABC, path uno87, elemnent 469, path dos 43, elemento 379
75, 779ABC, path uno485, elemnent 213, path dos 73, elemento 87
136, 905ABC, path uno157, elemnent 404, path dos 163, elemento 440
147, 747ABC, path uno200, elemnent 233, path dos 15, elemento 95
75, 351ABC, path uno332, elemnent 94, path dos 210, elemento 482
43, 82ABC, path uno136, elemnent 439, path dos 64, elemento 392
26, 188ABC, path uno280, elemnent 317, path dos 55, elemento 223
349, 541ABC, path uno114, elemnent 332, path dos 350, elemento 60
95, 159ABC, path uno138, elemnent 181, path dos 257, elemento 319
342, 644ABC, path uno406, elemnent 234, path dos 359, elemento 120
311, 704ABC, path uno320, elemnent 240, path dos 407, elemento 480
18, 852ABC, path uno228, elemnent 116, path dos 149, elemento 269
191, 496ABC, path uno352, elemnent 496, path dos 278, elemento 103
486, 730ABC, path uno194, elemnent 494, path dos 98, elemento 294
322, 101ABC, path uno44, elemnent 455, path dos 336, elemento 64
374, 407ABC, path uno2, elemnent 24, path dos 444, elemento 48
8, 474ABC, path uno206, elemnent 448, path dos 360, elemento 253
61, 542ABC, path uno432, elemnent 456, path dos 448, elemento 223
265, 797ABC, path uno142, elemnent 217, path dos 181, elemento 89
107, 498ABC, path uno323, elemnent 223, path dos 81, elemento 165
235, 837ABC, path uno407, elemnent 175, path dos 94, elemento 91
24, 425ABC, path uno414, elemnent 166, path dos 439, elemento 120
10, 930ABC, path uno228, elemnent 242, path dos 67, elemento 151
296, 106ABC, path uno14, elemnent 363, path dos 313, elemento 88
67, 570ABC, path uno140, elemnent 218, path dos 332, elemento 313
384, 829ABC, path uno453, elemnent 425, path dos 259, elemento 24
283, 289ABC, path uno221, elemnent 4, path dos 133, elemento 123
75, 158ABC, path uno77, elemnent 326, path dos 383, elemento 325
453, 102ABC, path uno149, elemnent 325, path dos 6, elemento 208
352, 103ABC, path uno474, elemnent 174, path dos 112, elemento 476
23, 231ABC, path uno337, elemnent 310, path dos 187, elemento 224
376, 790ABC, path uno73, elemnent 489, path dos 182, elemento 348
456, 45ABC, path uno324, elemnent 90, path dos 376, elemento 446
293, 789ABC, path uno78, elemnent 61, path dos 62, elemento 92
255, 275ABC, path uno486, elemnent 7, path dos 198, elemento 37
41, 64ABC, path uno330, elemnent 439, path dos 312, elemento 43
454, 104ABC, path uno35, elemnent 238, path dos 206, elemento 45
479, 979ABC, path uno166, elemnent 320, path dos 130, elemento 368
287, 339ABC, path uno448, elemnent 181, path dos 332, elemento 80
92, 644ABC, path uno495, elemnent 291, path dos 341, elemento 432
423, 482ABC, path uno255, elemnent 64, path dos 335, elemento 75
480, 369ABC, path uno222, elemnent 241, path dos 190, elemento 49
17, 807ABC, path uno393, elemnent 54, path dos 55, elemento 329
391, 902ABC, path uno136, elemnent 478, path dos 154, elemento 237
32, 877ABC, path uno489, elemnent 282, path dos 269, elemento 335
255, 40ABC, path uno478, elemnent 427, path dos 17, elemento 140
20, 963ABC, path uno329, elemnent 124, path dos 206, elemento 109
383, 916ABC, path uno151, elemnent 234, path dos 476, elemento 298
275, 118ABC, path uno8, elemnent 270, path dos 480, elemento 324
15, 578ABC, path uno373, elemnent 257, path dos 225, elemento 476
52, 720ABC, path uno170, elemnent 273, path dos 369, elemento 338
109, 849ABC, path uno223, elemnent 305, path dos 448, elemento 261
199, 817ABC, path uno372, elemnent 499, path dos 269, elemento 382
101, 366ABC, path uno264, elemnent 88, path dos 370, elemento 231
469, 729ABC, path uno191, elemnent 421, path dos 351, elemento 273
405, 657ABC, path uno359, elemnent 74, path dos 335, elemento 175
226, 553ABC, path uno416, elemnent 103, path dos 164, elemento 111
252, 502ABC, path uno84, elemnent 474, path dos 300, elemento 258
391, 507ABC, path uno339, elemnent 61, path dos 173, elemento 460
43, 186ABC, path uno226, elemnent 384, path dos 316, elemento 311
281, 305ABC, path uno392, elemnent 346, path dos 423, elemento 125
109, 143ABC, path uno139, elemnent 482, path dos 287, elemento 407
253, 961ABC, path uno242, elemnent 16, path dos 429, elemento 389
188, 118ABC, path uno184, elemnent 93, path dos 195, elemento 57
448, 368ABC, path uno440, elemnent 237, path dos 491, elemento 373
408, 413ABC, path uno250, elemnent 458, path dos 24, elemento 346
199, 97ABC, path uno148, elemnent 263, path dos 296, elemento 471
73, 806ABC, path uno132, elemnent 14, path dos 298, elemento 359
169, 70ABC, path uno93, elemnent 393, path dos 380, elemento 14
138, 848ABC, path uno29, elemnent 150, path dos 351, elemento 41
259, 571ABC, path uno284, elemnent 54, path dos 153, elemento 11
469, 88ABC, path uno274, elemnent 54, path dos 104, elemento 3
354, 54ABC, path uno81, elemnent 72, path dos 25, elemento 346
77, 221ABC, path uno317, elemnent 42, path dos 299, elemento 184
285, 902ABC, path uno129, elemnent 340, path dos 445, elemento 16
470, 501ABC, path uno273, elemnent 238, path dos 137, elemento 187
283, 576ABC, path uno114, elemnent 124, path dos 380, elemento 208
322, 430ABC, path uno112, elemnent 85, path dos 443, elemento 250
84, 655ABC, path uno18, elemnent 277, path dos 42, elemento 377
